Years,Japan,Philippines
1960,508.7027793,269.4651465
1961,608.8645811,283.7947412
1962,684.5655098,166.6892214
1963,775.5921231,179.464434
1964,902.8677215,188.1537836
1965,993.7327222,199.7635754
1966,1143.607897,213.849586
1967,1326.361039,223.1247663
1968,1553.271394,242.2320676
1969,1802.980281,261.0908904
1970,2100.74807,200.9216556
1971,2321.390925,217.4290551
1972,3031.438606,230.0976113
1973,4061.01339,283.2285927
1974,4448.319656,379.0681812
1975,4775.899536,400.6388831
1976,5310.431409,448.6200845
1977,6472.787787,502.2342429
1978,9012.136035,565.2674871
1979,9301.14831,666.9563868
1980,9668.746264,766.9694511
1981,10583.12789,821.2932569
1982,9779.974906,832.5362003
1983,10652.01472,723.4304971
1984,11207.45235,665.0423493
1985,11809.46035,633.2110653
1986,17451.83494,600.0028439
1987,21141.7184,649.8128576
1988,25499.88117,722.3437185
1989,25265.94876,791.8643244
1990,25801.39504,803.5725883
1991,29428.4289,804.3233305
1992,31992.79021,916.5156945
1993,36345.24413,918.6429538
1994,39933.51506,1059.983895
1995,44197.6191,1199.841714
1996,39150.03963,1311.092494
1997,35638.23196,1273.276049
1998,32423.75561,982.8659437
1999,36610.16832,1101.43516
2000,39169.35957,1050.792731
2001,34406.18246,969.5306117
2002,32820.79364,1014.908793
2003,35387.03742,1027.230119
2004,38298.98017,1099.63013
2005,37812.89502,1220.460186
2006,35991.546,1426.146492
2007,35779.02454,1712.655433
2008,39876.30397,1959.292335
2009,41308.99684,1864.450434
2010,44968.15623,2162.913759
2011,48760.07895,2383.918925
2012,49145.28043,2614.616444
2013,40898.6479,2781.279577
2014,38475.39525,2866.838038
2015,34960.63938,2909.85818
2016,39375.47316,2985.19564
2017,38834.05293,3038.12125
2018,39751.1331,3168.510366
2019,40415.95676,3400.789498
2020,40028.73417,3227.579102
2021,40094.55998,3484.385939
2022,34065.6439,3548.069306
2023,33836.17563,3804.082741
2024,32487.0778,3984.831539
